text,label
Sounds fine to me. Can you help me make a reservation?,ReserveRestaurant
"A quarter past 5 in the evening, please.",ReserveRestaurant
"No, I'd like it on March 13th.",ReserveRestaurant
"No, I'd like it at half past 12 in the afternoon.",ReserveRestaurant
"Yes, sounds good.",ReserveRestaurant
Does the restaurant serve alcohol?,ReserveRestaurant
"Thank you, that's all I need.",ReserveRestaurant
"Hello, could you help me search for a place to dine in?",FindRestaurants
I would prefer a restaurant which serves up Cambodian food in SF.,FindRestaurants
Are there any alternative restaurants?,FindRestaurants
"Sure, that sounds great!",FindRestaurants
"Yes, please do so.",ReserveRestaurant
I would prefer to dine in at 19:15.,ReserveRestaurant
"Sorry, could you change the booking to 18:30 for 3 people?",ReserveRestaurant
That's fine for me. May I know where they are located at?,ReserveRestaurant
"No, thank you anyway.",ReserveRestaurant
"I have a plan to eat out side for which I need some best places, can you search one for me?",FindRestaurants
Asian kind of food will be good for me and please search it in Fremont City.,FindRestaurants
"Yes, I like the same.",FindRestaurants
"Yes, make it at half past 1 in the afternoon that will be the perfect time to eat.",ReserveRestaurant
change it to March 10th.,ReserveRestaurant
"Yes, confirmed. continue with reservation.",ReserveRestaurant
Thanks for your help.,ReserveRestaurant
I want to find a restaurant in Albany.,FindRestaurants
Barbecue is the best.,FindRestaurants
What is the other option?,FindRestaurants
Yes that sounds good.,FindRestaurants
Yes please reserve me a table for the 13th of March.,ReserveRestaurant
"5 o""clock in the evening please.",ReserveRestaurant
Yes is great.,ReserveRestaurant
Thanks for your help.,ReserveRestaurant
Can you pull up a list of places to eat?,FindRestaurants
Search San Francisco for Asian Fusion food,FindRestaurants
Is there live music?,FindRestaurants
Do they serve alcohol? And what's their phone number?,FindRestaurants
Okay great. Please make a reservation for a party of six.,ReserveRestaurant
half past 5 in the evening please.,ReserveRestaurant
That's correct. What's the address?,ReserveRestaurant
I want a reservation at this restaurant. Can you make it for twelve pm? For four people.,ReserveRestaurant
"Yes, thank you. How's the pricing? Low priced?",ReserveRestaurant
"Thank you, that is all.",ReserveRestaurant
"I'm looking for a good place to get something to eat, can you help?",FindRestaurants
"Oh, I'm in Oakland. Please find an American restaurant.",FindRestaurants
Are their prices extravagant? How can I contact them.,FindRestaurants
"Okay, that sounds good. Can you reserve a table for me?",ReserveRestaurant
Please reserve it for six pm.,ReserveRestaurant
Yes that's perfect. What's their address? Do they have a live band?,ReserveRestaurant
Okay thanks. That'll be all.,ReserveRestaurant
I'm looking for somewhere to eat.,FindRestaurants
In Oakland.,FindRestaurants
I want pizza and pasta.,FindRestaurants
Do they have liquor?,FindRestaurants
"Okay, that works for me.",FindRestaurants
"Yes, for two people please.",ReserveRestaurant
I want it at half past 5 in the evening.,ReserveRestaurant
Yes.,ReserveRestaurant
Thanks.,ReserveRestaurant
I'm looking for a restaurant.,FindRestaurants
Asian Fusion in Concord.,FindRestaurants
"Yes, that is good.",FindRestaurants
"Yes, any date works.",ReserveRestaurant
"5 o""clock in the evening.",ReserveRestaurant
"Yes, that is good.",ReserveRestaurant
What is the address and is there music?,ReserveRestaurant
Thank you for your assistance.,ReserveRestaurant
Are there any Mexican places in Rohnert Park?,FindRestaurants
Is it an inexpensive restaurant?,FindRestaurants
What's their phone number?,FindRestaurants
Are there any other restaurants? Something like Ramen would be good. I want something that is not very costly.,FindRestaurants
That would be great!,FindRestaurants
Make a reservation this morning 11:15 for three people.,ReserveRestaurant
That's correct. What's their address?,ReserveRestaurant
Is their music live?,ReserveRestaurant
Okay. That was all I needed.,ReserveRestaurant
I'm getting pretty hungry and need to find a place to eat.,FindRestaurants
I would like something that I can pick-up in San Fran at any price range.,FindRestaurants
Do they have music or entertainment? Can I have their phone number?,FindRestaurants
I am on a budget so I would like something that is inexpensive but serves alcohol. Can you suggest another restaurant with these qualities?,FindRestaurants
"Yes, that sounds like what I'm looking for.",FindRestaurants
"Yes, can you make the reservation for two people?",ReserveRestaurant
Please make the reservation for the 13th of this month at afternoon 12.,ReserveRestaurant
Yes that sounds great. What is the address of the restaurant?,ReserveRestaurant
Thank you for all your help.,ReserveRestaurant
Can you help me find a restaurant?,FindRestaurants
I prefer Redwood City.,FindRestaurants
"I would like Spanish food, economical pricing preferred.",FindRestaurants
That sounds good.,FindRestaurants
Yes please make a reservation for four.,ReserveRestaurant
Early evening 5:45 pm.,ReserveRestaurant
Yes that is correct. Do you have their phone number?,ReserveRestaurant
Thank you. That is all for now.,ReserveRestaurant
I am looking for a place to eat. Can you find restaurants specializing in Singaporean cuisine near me?,FindRestaurants
I am looking for restaurants located in Millbrae.,FindRestaurants
"Great, thanks. What is their phone number? Do they serve alcohol?",FindRestaurants
"Okay, sounds good.",FindRestaurants
"Sure, that would be great.",ReserveRestaurant
"Eleven in the morning, please.",ReserveRestaurant
Yes- that's perfect.,ReserveRestaurant
Wonderful. Thanks for your help.,ReserveRestaurant
Can you help me find an afforadable place to eat?,FindRestaurants
Please look for a place in Calistoga.,FindRestaurants
I'm in the mood for Cambodian food.,FindRestaurants
"Do you have any other suggestions? Actually, I think I'd prefer Barbecue.",FindRestaurants
"Yeah, that does work for me.",FindRestaurants
"Yeah, please make me a reservation.",ReserveRestaurant
"It should be half past 12 in the afternoon. Oh, and make it for two.",ReserveRestaurant
"Wait no, it's just 1 person.",ReserveRestaurant
"Yeah, also do they have live music and liquor there?",ReserveRestaurant
"Okay, thanks. I don't need any more help.",ReserveRestaurant
I will be going to eat with a friend what expensive restaurants do you recommend?,FindRestaurants
I want something with Fish but make it an average priced restaurant.,FindRestaurants
I want to eat in Burlingame.,FindRestaurants
That sounds great. Please make a reservation.,ReserveRestaurant
At quarter to 1 in the afternoon.,ReserveRestaurant
"Yes, that is correct. Do you have the phone number?",ReserveRestaurant
"Thanks a lot, that would be all.",ReserveRestaurant
I am tired of eating my cooking. I want to eat out tonight.,FindRestaurants
I am in the mood for Izakaya cuisine.,FindRestaurants
I want something in Rohnert Park,FindRestaurants
That does not seems close by. Where is it located?,FindRestaurants
Is there anything else? I want to go somewhere close to Pleasant Hill.,FindRestaurants
Where is it located?,FindRestaurants
It is closer and would work out perfectly for me.,FindRestaurants
"Yes, reserve it for me.",ReserveRestaurant
"8 in the night, for 1 person",ReserveRestaurant
Great. Is there live music? Is it a costly restaurant?,ReserveRestaurant
Try again to book a table for 2,ReserveRestaurant
I would like a table for 11:45 in the morning.,ReserveRestaurant
That would be great.,ReserveRestaurant
That would be great.,ReserveRestaurant
I appreciate your assistance.,ReserveRestaurant
I am looking for an inexpensive place to eat that has live music.,FindRestaurants
"I'd like some soup, and I'm looking in San Ramon.",FindRestaurants
What is their address and contact number?,FindRestaurants
"Yes, that would work.",FindRestaurants
"Yes, please make the reservation for 7:30 pm.",ReserveRestaurant
"Yes, that's great. Do they serve liquor?",ReserveRestaurant
"Thank you, that is all I need.",ReserveRestaurant
Can you help me find somewhere to eat?,FindRestaurants
Search in Cupertino for Dumplings.,FindRestaurants
"Is it expensive, and do they serve alcohol?",FindRestaurants
Can you look for another place to eat in Santa Clara?,FindRestaurants
Can you suggest something in the moderate price range?,FindRestaurants
"Great, can you make a reservation on the 7th of this month?",ReserveRestaurant
How about 7:30 pm.,ReserveRestaurant
"Yes, that's right. Do they serve alcohol?",ReserveRestaurant
"Great, thanks, that's all I need.",ReserveRestaurant
Hey! Today feeling so tired... Wish to have some food outside in a good restaurant... Can you find me one?,FindRestaurants
I would love to taste some Seafood in San Mateo. Please find some good hotels.,FindRestaurants
How much they charge? Can I have their street address?,FindRestaurants
"Yup, that works. Please can you reserve at this restaurant?",ReserveRestaurant
Probably at quarter past 1 in the afternoon.,ReserveRestaurant
Yup! sounds good. I've a question... Did liquor is provided at this restaurant?,ReserveRestaurant
Thanks for your time.,ReserveRestaurant
I'm looking for somewhere in Dublin to have a meal and a drink.,FindRestaurants
I feel like a burger.,FindRestaurants
Do you have anything else?,FindRestaurants
Do they have live music? What's the price range?,FindRestaurants
Oh okay. Yeah sure that's fine.,FindRestaurants
I'd like to make a reservation.,ReserveRestaurant
5 pm please. There's 3 people in the group.,ReserveRestaurant
Yeah that works fine. What's their address and phone number?,ReserveRestaurant
Thanks a lot!,ReserveRestaurant
"I am bored of eating food from home , i need a change . Will you find me a place to eat? It can be costly priced and i am very fond of it",FindRestaurants
I need Pizza kind of food and i wish to eat in city Napa.,FindRestaurants
Will you specify restaurant address and whether they have live music ?,FindRestaurants
"Ok its fine , i prefer the same.",FindRestaurants
"Yes sure, Please make a reservation and number of people is 2",ReserveRestaurant
Please fix it at 11:30 am,ReserveRestaurant
sorry make the reservation time as Morning 11:45,ReserveRestaurant
ok its great and sounds good .Please inform me the contact number of that restaurant?,ReserveRestaurant
Whether they serve liquor?,ReserveRestaurant
ok thanks a lot for your kind help,ReserveRestaurant
I'm starting to get hungry. I want to go eat at a nice restaurant.,FindRestaurants
Milpitas.,FindRestaurants
I feel like Cambodian tonight.,FindRestaurants
That's exactly what I'm looking for.,FindRestaurants
"Yes, I'd like to try this place out.",ReserveRestaurant
6:30 pm. Please make the reservation for four people.,ReserveRestaurant
Perfect. What are the prices at Anh Hong like?,ReserveRestaurant
Thanks. You've been a big help.,ReserveRestaurant
I'm planning on going out to eat later on. Can you help me find a place to eat at?,FindRestaurants
I'd like to go to a restaurant in Martinez that serves Thai food.,FindRestaurants
What's their phone number and do they serve alcohol?,FindRestaurants
"Okay, great. I want to make a reservation please.",ReserveRestaurant
Make the reservation for 7 pm.,ReserveRestaurant
"No, make it for 1 person on next Monday please.",ReserveRestaurant
"Yup, that's right. Can you tell me if they have a live band?",ReserveRestaurant
Do you know if their menu is inexpensive and what their address is?,ReserveRestaurant
"Great, thanks!",ReserveRestaurant
I am looking for an intermediate priced eating place in the nearby area.,FindRestaurants
Any place in Pleasanton which serves Ramen kind of food and also alcohol will be ideal.,FindRestaurants
That is good a good choice. Please make a reservation for six people for 3rd of March.,ReserveRestaurant
Reserve it for Twelve pm.,ReserveRestaurant
Yes that is good.,ReserveRestaurant
Thank you.,ReserveRestaurant
I would like to it in a place in Pleasanton.,FindRestaurants
I would love some Noodles,FindRestaurants
Can you tell me the phone number?,FindRestaurants
Sounds good,FindRestaurants
Yes make it for 2 people,ReserveRestaurant
I want to be at 6:45 in the evening,ReserveRestaurant
No make it please at 12:45 for 4 people,ReserveRestaurant
Yes is good.Tell me please if they serve Liquor and if they have a price range average priced,ReserveRestaurant
Yes is ok,ReserveRestaurant
Thank you very much that s all I need,ReserveRestaurant
I'd like to find a place to eat.,FindRestaurants
I'd like a Barbecue food restaurant in Campbell.,FindRestaurants
Is Liquor available? Where are they located?,FindRestaurants
Do you have any other suggestions that are also affordable?,FindRestaurants
I'd like another kind of restaurant. I'd like Sushi.,FindRestaurants
That's great.,FindRestaurants
Yes I'd like to make a reservation.,ReserveRestaurant
Please can you book it for 7:15 pm.,ReserveRestaurant
"No, I'd like to book for March 14th.",ReserveRestaurant
Perfect.,ReserveRestaurant
Do they serve alcohol? what is their phone number?,ReserveRestaurant
That's great. I don't need anything else right now.,ReserveRestaurant
Will you find me a place to eat?,FindRestaurants
Palo Alto.,FindRestaurants
Brazilian.,FindRestaurants
Great. Please make a reservation.,ReserveRestaurant
Quarter past 5 in the evening.,ReserveRestaurant
"No, change it to evening 6:15.",ReserveRestaurant
Great. How pricey? What's their number?,ReserveRestaurant
Thanks.,ReserveRestaurant
Will you find me somewhere to eat?,FindRestaurants
"I really need good pasta, I'm underweight.",FindRestaurants
"Campbell please, thanks.",FindRestaurants
I need someplace cheaper. I want to eat a lot for not very costly.,FindRestaurants
Where are they located?,FindRestaurants
What's the situation with live music there?,FindRestaurants
Please give a better choice.,FindRestaurants
You have found a winner.,FindRestaurants
Please do that.,ReserveRestaurant
5:30 pm should be prime pasta time.,ReserveRestaurant
Do they have been and liquor?,ReserveRestaurant
"Great, I want to toast the victory of the team.",ReserveRestaurant
"I want to eat out at an intermediate priced location, can you find me some options?",FindRestaurants
I want to go to Milpitas. Spicy Indian food sounds perfect.,FindRestaurants
Is there live music? What's the contact number?,FindRestaurants
"Well, it works for me, can you make a reservation for 4 people at 1 o""clock in the afternoon?",ReserveRestaurant
"No, actually I want it for 3 people, and at evening 7:45.",ReserveRestaurant
"Yes, that sounds good.",ReserveRestaurant
I am planning to go out for dinner. Can you find me restaurants nearby?,FindRestaurants
I would like to eat in Milpitas and the restaurant should be in the moderate price range.,FindRestaurants
I am looking for restaurants that offer Take-out.,FindRestaurants
What is the other restaurant you mentioned?,FindRestaurants
Where are they located?,FindRestaurants
I like that location. I would like to make a reservation at Red Chillies The Malabar Cuisine.,ReserveRestaurant
The reservation needs to be at 11 am.,ReserveRestaurant
The reservation should be for March 14th.,ReserveRestaurant
Please make the reservation for 18:00.,ReserveRestaurant
"Yes, that is correct.",ReserveRestaurant
Does the restaurant have any live entertainment? Is their contact information available?,ReserveRestaurant
I greatly appreciate your time.,ReserveRestaurant
"I'm feeling hungry, do you know of any places that average priced?",FindRestaurants
I'm feeling a craving for Noodles.,FindRestaurants
Look for a place in Dublin.,FindRestaurants
"Yeah, I like the sound of that.",FindRestaurants
"Yeah, reserve me a table for one person please.",ReserveRestaurant
I want it on the 7th of March at 13:00.,ReserveRestaurant
"Sorry, it's actually for the 8th of March.",ReserveRestaurant
"Yeah, you got it. Do they have liquor over there?",ReserveRestaurant
"Thank you, you're great. That'll be all.",ReserveRestaurant
"I'm looking for somewhere to eat with my girlfriend, do you know of any good restaurants?",FindRestaurants
I want something with a moderate priced in Petaluma. It also needs to serve alcohol.,FindRestaurants
"Some type of curry would be great, so Indian or Thai maybe.",FindRestaurants
"Yeah, that's great!",FindRestaurants
"Yes, I'd like to book a table.",ReserveRestaurant
How about 11 in the morning?,ReserveRestaurant
"No, just for 1 person.",ReserveRestaurant
"Yep, that's perfect. What's the restaurant's address?",ReserveRestaurant
Thanks so much!,ReserveRestaurant
I'm on a budget and I am looking for a cafe that is not very costly.,FindRestaurants
I am really hungry for Pizza and Pasta.,FindRestaurants
I have to have something in San Francisco.,FindRestaurants
"Yes, please get me a reservation there.",ReserveRestaurant
Please reserve at quarter past 5 in the evening.,ReserveRestaurant
"Yes, exactly please.",ReserveRestaurant
"No, I don't want that.",ReserveRestaurant
I'm hungry. Find places to eat please.,FindRestaurants
Let's go with Foster City please.,FindRestaurants
Spicy Indian sound really good.,FindRestaurants
Give me other suggestions as well,FindRestaurants
Can you find out if they are average priced?,FindRestaurants
Perfect. That works,FindRestaurants
"Yes, go ahead and do that.",ReserveRestaurant
How about this afternoon 1:45.,ReserveRestaurant
No it doesn't. Change to 5:45 pm on the 4th of this month please.,ReserveRestaurant
Yes. that is perfect.,ReserveRestaurant
"Thanks, that is all i needed.",ReserveRestaurant
Can you find a place to eat?,FindRestaurants
Some Sichuan food would be good.,FindRestaurants
Look in Mountain View.,FindRestaurants
Is the restaurant inexpensive?`,FindRestaurants
Can you suggest a restaurant with inexpensive pricing?,FindRestaurants
What is the address? Do they have live music?,FindRestaurants
"Yes, that's perfect. I want to reserve a table for 4.",ReserveRestaurant
6 in the evening.,ReserveRestaurant
That works for me. What is the restaurant's phone number?,ReserveRestaurant
Do they serve alcohol?,ReserveRestaurant
Thanks. That's all I need.,ReserveRestaurant
I would like to find a Chinese food restaurant.,FindRestaurants
Search in San Mateo.,FindRestaurants
How expensive are they?,FindRestaurants
Can you suggest other restaurants in SF?,FindRestaurants
Can you suggest another restaurant?,FindRestaurants
What is the address?,FindRestaurants
"Ok, make a reservation at 12 o""clock in the afternoon.",ReserveRestaurant
"Yes, how expensive are they?",ReserveRestaurant
"Thank you, that's everything.",ReserveRestaurant
Can you find me place to eat?,FindRestaurants
Food kind of California will be perfect in SF.,FindRestaurants
Can you look for any other restaurant?,FindRestaurants
Can you find me the address?,FindRestaurants
Can you find me any other restaurant?,FindRestaurants
Do they play live music and is the price range low-cost?,FindRestaurants
Okay. That sound good to me.,FindRestaurants
Can you help me in making a reservation at the restaurant?,ReserveRestaurant
The timing will be half past 7 in the evening.,ReserveRestaurant
"Yes, that sounds great to me.",ReserveRestaurant
That will be all. Thank you.,ReserveRestaurant
I am searching for a eating place with a intermediate priced,FindRestaurants
Some Izakaya kind of food good in Foster City,FindRestaurants
Can you tell me other restaurant names?,FindRestaurants
Are there any live music?,FindRestaurants
Ok. that is perfect for me and want to reserve that restaurant on March 4th.,ReserveRestaurant
Do the reservation at evening 6:30,ReserveRestaurant
This is perfect. what is the address and contact number?,ReserveRestaurant
Thanks a lot. That is all i want.,ReserveRestaurant
i am meeting my friend after a long time and i wish to eat along with him. Will you find a place to eat and i don't have a price preference.,FindRestaurants
I like Pizza and Pasta kind of food and the place should be in San Francisco.,FindRestaurants
I need their contact number? Please provide me,FindRestaurants
"Ok, that great and sound good to me.",FindRestaurants
Yes i wank to make a reservation at 6 in the evening.,ReserveRestaurant
"Ok, very perfect. Book it. Do they have live music?",ReserveRestaurant
Tell me their address?,ReserveRestaurant
Thanks a lot and thanks for your help,ReserveRestaurant
Can you help me locate a place to eat?,FindRestaurants
Some Punjabi food would be great. Please look in Pleasanton.,FindRestaurants
Do they have live music?,FindRestaurants
That is fine. Please make a reservation.,ReserveRestaurant
Please make if at 12:15.,ReserveRestaurant
"Yes, that is correct. What is their address and phone number?",ReserveRestaurant
No thank you.,ReserveRestaurant
I'm looking for somewhere to eat.,FindRestaurants
I'd like pizza and somewhere in Sunnyvale.,FindRestaurants
What's their number?,FindRestaurants
Do they serve alcohol? What's their address?,FindRestaurants
That works. I want to reserve a table.,ReserveRestaurant
Make it in the evening 7:15.,ReserveRestaurant
"No, make it in the afternoon 12:30.",ReserveRestaurant
"No, I want it to be for next tuesday, and only for one person.",ReserveRestaurant
Yes.,ReserveRestaurant
"Thanks, that's everything.",ReserveRestaurant
"I'm getting a craving for Diner food, can you help me look for a place?",FindRestaurants
Look in San Fran.,FindRestaurants
"Okay, that sounds good.",FindRestaurants
"Yeah, please make a reservation.",ReserveRestaurant
I want it for the evening 4:45.,ReserveRestaurant
"No, it's just for one person. And on second though, can you make it at 6 pm.",ReserveRestaurant
"Yeah, that's correct. Can you tell me their address?",ReserveRestaurant
Thanks so much.,ReserveRestaurant
I'd like to find somewhere to eat. Someplace intermediate priced.,FindRestaurants
Something Southern in the San Jose area would be great.,FindRestaurants
Do you have any other suggestions? Maybe someplace with live music that also serves alcohol.,FindRestaurants
What's their number?,FindRestaurants
And their address?,FindRestaurants
Do you have anymore restaurant suggestions?,FindRestaurants
Sounds great.,FindRestaurants
Yes. Make it for a quarter to 12 in the morning.,ReserveRestaurant
"Yes, that's perfect. What's their address and phone number again?",ReserveRestaurant
Thank you so much for all of your help.,ReserveRestaurant
Please search for an economical priced place to eat that serves alcohol.,FindRestaurants
I prefer it in Oakland. I am craving Pizza.,FindRestaurants
Do they happen to have live music? What is their phone number?,FindRestaurants
Are there other restaurant options?,FindRestaurants
That will do.,FindRestaurants
I want to make a restaurant reservation.,ReserveRestaurant
I would like it to be half past 11 in the morning.,ReserveRestaurant
Its actually a party of 4.,ReserveRestaurant
That will do.,ReserveRestaurant
Can you tell me what their address is?,ReserveRestaurant
Thank you. That is all.,ReserveRestaurant
I want a good place to eat that is fancy priced,FindRestaurants
I need it in SFO. French food will be perfect.,FindRestaurants
Yes that works. I want a reservation at a nearby restaurant.,ReserveRestaurant
I want it at 13:15,ReserveRestaurant
Is there live music?,ReserveRestaurant
Yes that works,ReserveRestaurant
Thanks that is all,ReserveRestaurant
I would like to look for a place where I could eat.,FindRestaurants
"Please look in Dublin, a burger is perfect to have now.",FindRestaurants
I want a restaurant with music.,FindRestaurants
"Alright, please make a reservation for me at this evening 7:15.",ReserveRestaurant
Please make it at 7 pm.,ReserveRestaurant
Actually its for 3 people on 14th of March.,ReserveRestaurant
"Yes, that's right. How about the price range, is it very fancy?",ReserveRestaurant
"Thank you, that's all for now.",ReserveRestaurant
My husband and I want to have dinner out. Are there any good places to eat around here?,FindRestaurants
I would like to stay around Milpitas.,FindRestaurants
I would really like some Latin American food.,FindRestaurants
"That's great, are there any other restaurants, maybe in Santa Clara?",FindRestaurants
How expensive are they?,FindRestaurants
Do you have any other suggestions?,FindRestaurants
"Great, that's the one I want.",FindRestaurants
"Yes, please. I want to eat there.",ReserveRestaurant
How about 12:30 in the afternoon?,ReserveRestaurant
"Yes, that is correct? Can you tell me their address and if they are having live music?",ReserveRestaurant
Thank you so much! That's everything.,ReserveRestaurant
Do you know of any places to eat in San Francisco?,FindRestaurants
American food would really hit the spot.,FindRestaurants
Do you have any other suggestions? I would prefer something with a moderate price range.,FindRestaurants
Do you have their phone number? And do they serve liquor?,FindRestaurants
"Okay, that works. Please make me a reservation for 12:45 pm.",ReserveRestaurant
"Yeah, that's it.",ReserveRestaurant
Thanks so much.,ReserveRestaurant
I'm looking for restaurants.,FindRestaurants
In Oakland.,FindRestaurants
I like Fish best.,FindRestaurants
Any other options?,FindRestaurants
Any others? I want something afforadable.,FindRestaurants
Do they have liquor and live music?,FindRestaurants
That works. I want to make a reservation.,ReserveRestaurant
"For two people, 10:30 in the morning.",ReserveRestaurant
That works. What's their address and number?,ReserveRestaurant
"Try booking again, for 1 person at 12:30.",ReserveRestaurant
That's perfect.,ReserveRestaurant
"Thanks, that's all I need.",ReserveRestaurant
I would like to find a place to eat.,FindRestaurants
Find me a sushi place in Alameda.,FindRestaurants
That works for me. I would like to make a reservation.,ReserveRestaurant
I would like it at afternoon 1:15.,ReserveRestaurant
"Yup, that's correct.",ReserveRestaurant
Thanks so much. That's all for today.,ReserveRestaurant
Hi I'm hungry and also need to let loose tonight. Can you find me a place to eat that serves alcohol?,FindRestaurants
"I'm in the mood for some Chinese food tonight, preferably in Millbrae.",FindRestaurants
That sounds good to me.,FindRestaurants
"Yes, that would be great. Please make a reservation.",ReserveRestaurant
I'd like to be there at evening 7:30.,ReserveRestaurant
That sounds great.,ReserveRestaurant
What is the address of the restaurant?,ReserveRestaurant
"Thanks for everything, that's all I needed.",ReserveRestaurant
I'd like to find a place to eat in this city.,FindRestaurants
Look for burger restaurants in Campbell.,FindRestaurants
What is Effie's address and do they serve drinks?,FindRestaurants
I'd like to make a reservation there.,ReserveRestaurant
Make it on the 4th of this month please in the evening 6:30.,ReserveRestaurant
No I'd like a reservation on the 1st.,ReserveRestaurant
No the reservation is for 3 people.,ReserveRestaurant
"Yes, sounds good.",ReserveRestaurant
Do they play live music and what is their phone number?,ReserveRestaurant
